# timestamp(s) tx ty tz qx qy qz qw Pr11 Pr12 Pr13 Pr22 Pr23 Pr33 Pt11 Pt12 Pt13 Pt22 Pt23 Pt33
1700030417.20390 -0.566617 0.062544 0.116106 -0.039275 -0.009280 0.999100 0.013035 0.0001714187 -0.0000054065 -0.0000104840 0.0001786078 -0.0000018851 0.0005140915 0.0064655048 0.0000073038 0.0001338907 0.0064267502 -0.0000049466 0.0063724010
1700030417.27109 -0.597622 0.061689 0.116832 -0.027695 -0.008051 0.999440 0.016945 0.0001703733 -0.0000025422 -0.0000004368 0.0001805888 -0.0000007016 0.0005204522 0.0065135010 -0.0000252556 0.0001520964 0.0064551524 -0.0000192964 0.0063839320
1700030417.33828 -0.638869 0.060936 0.117782 -0.033542 -0.011071 0.999148 0.021351 0.0001712028 -0.0000011133 -0.0000037460 0.0001831387 -0.0000025777 0.0005264387 0.0066109398 -0.0000817538 0.0001930859 0.0065114094 -0.0000448785 0.0064095428
1700030417.40548 -0.675836 0.062772 0.112992 -0.034880 -0.017924 0.998885 0.026293 0.0001719585 0.0000000096 -0.0000056136 0.0001853855 -0.0000068414 0.0005324945 0.0067668239 -0.0001746336 0.0002631891 0.0065974619 -0.0000906805 0.0064511290
1700030417.47269 -0.716957 0.075538 0.111146 -0.037359 -0.012229 0.998786 0.029682 0.0001725584 0.0000011134 -0.0000065913 0.0001876229 -0.0000024895 0.0005389826 0.0069897199 -0.0003111045 0.0003648710 0.0067063370 -0.0001558835 0.0065054640
1700030417.53990 -0.752236 0.086208 0.115487 -0.032218 -0.003982 0.999014 0.030272 0.0001682347 -0.0000050872 -0.0000040691 0.0001769238 0.0000024033 0.0005423011 0.0065421317 -0.0000224154 0.0001620789 0.0065375583 -0.0000223365 0.0064143167
1700030417.60711 -0.794068 0.087863 0.115839 -0.043457 0.002940 0.998614 0.029543 0.0001673505 -0.0000049023 -0.0000110754 0.0001774221 0.0000079997 0.0005470163 0.0065284428 -0.0000180358 0.0001574812 0.0065622790 -0.0000230104 0.0064194973
1700030417.67433 -0.836089 0.088654 0.118984 -0.042618 0.007221 0.998660 0.028450 0.0001619485 -0.0000001656 -0.0000106764 0.0001679572 0.0000090357 0.0005366440 0.0064737791 0.0000074096 0.0001289130 0.0065759930 -0.0000095088 0.0064101682
1700030417.74155 -0.880632 0.080100 0.113319 -0.048425 -0.000783 0.998439 0.027838 0.0001606425 0.0000003330 -0.0000148919 0.0001671212 0.0000052846 0.0005358339 0.0064720276 0.0000106566 0.0001284148 0.0066044185 -0.0000082762 0.0064174695
1700030417.80878 -0.926301 0.068434 0.115713 -0.045588 -0.007551 0.998592 0.026055 0.0001592027 -0.0000022369 -0.0000092980 0.0001685223 0.0000009737 0.0005394052 0.0064872488 0.0000158932 0.0001330385 0.0066472141 -0.0000006546 0.0064325002
1700030417.87601 -0.965268 0.062411 0.126894 -0.040645 -0.020065 0.998459 0.032022 0.0001628217 -0.0000023864 -0.0000042992 0.0001730239 -0.0000086114 0.0005454641 0.0065572702 0.0000192935 0.0001467265 0.0067397193 0.0000040154 0.0064951791
1700030417.94325 -1.011419 0.045659 0.128893 -0.035396 -0.018195 0.998522 0.037023 0.0001601362 0.0000004782 -0.0000010279 0.0001734890 -0.0000049977 0.0005509563 0.0066006251 -0.0000575187 0.0001999903 0.0067599084 -0.0000482542 0.0065015112
1700030418.01049 -1.072052 0.051597 0.123780 -0.041273 -0.021085 0.998096 0.040695 0.0001583197 -0.0000019789 -0.0000049943 0.0001771240 -0.0000101694 0.0005568389 0.0067267321 -0.0000788120 0.0002533280 0.0068129513 -0.0000514653 0.0065487868
1700030418.07774 -1.133369 0.069030 0.105911 -0.044340 -0.017467 0.997880 0.044317 0.0001576391 -0.0000034481 -0.0000084124 0.0001807671 -0.0000071491 0.0005630977 0.0069451668 -0.0000765076 0.0003506799 0.0068539442 -0.0000509924 0.0066063154
1700030418.14499 -1.192649 0.077874 0.100527 -0.039635 -0.009114 0.997992 0.048562 0.0001613593 -0.0000039404 -0.0000036760 0.0001853652 0.0000015022 0.0005699168 0.0072933031 -0.0000838347 0.0004912854 0.0069431518 -0.0000607264 0.0067119780
1700030418.21192 -1.259316 0.094232 0.103772 -0.048479 0.000234 0.997568 0.050070 0.0001587750 -0.0000050152 -0.0000118856 0.0001874646 0.0000068364 0.0005754122 0.0077227181 -0.0000839966 0.0007036199 0.0069573116 -0.0000558534 0.0067919609
1700030418.27902 -1.321587 0.093933 0.105726 -0.048118 -0.003860 0.997826 0.044861 0.0001624781 -0.0000047980 -0.0000108515 0.0001924860 0.0000053876 0.0005822802 0.0083696642 -0.0000826461 0.0009852327 0.0070502881 -0.0000560002 0.0069512336
1700030418.34611 -1.388583 0.092654 0.100165 -0.052154 -0.006339 0.997696 0.042918 0.0001665437 -0.0000048344 -0.0000130316 0.0001975786 0.0000036281 0.0005890926 0.0092247751 -0.0000862554 0.0013351068 0.0071991401 -0.0000529566 0.0071845567
1700030418.41322 -1.453716 0.088362 0.083965 -0.055764 -0.015009 0.997484 0.041131 0.0001607039 -0.0000054458 -0.0000190114 0.0001988519 -0.0000039290 0.0005945467 0.0102047569 -0.0000759506 0.0018426647 0.0072423612 -0.0000548466 0.0074363115
1700030418.48032 -1.461838 0.085876 0.099364 -0.048735 -0.020167 0.997717 0.042189 0.0001629046 -0.0000037535 -0.0000141937 0.0001916545 -0.0000079328 0.0006014216 0.0100828631 -0.0000875333 0.0019711668 0.0073218441 -0.0000573400 0.0076239788
1700030418.54743 -1.420616 0.070639 0.124070 -0.036267 -0.020536 0.998132 0.044681 0.0001635343 -0.0000056014 -0.0000053705 0.0001885358 -0.0000075176 0.0006084710 0.0102356068 0.0000725062 0.0022295090 0.0073010984 0.0000310633 0.0078542431
1700030418.61454 -1.375018 0.073881 0.179343 -0.036120 -0.022502 0.997825 0.050351 0.0001646281 0.0000003948 -0.0000016194 0.0001788251 -0.0000107918 0.0006156484 0.0083522609 -0.0001978537 0.0010822488 0.0072704024 -0.0001230970 0.0071457408
1700030418.68165 -1.368405 0.060898 0.210852 -0.038391 -0.027554 0.997415 0.054139 0.0001666066 0.0000009532 -0.0000015341 0.0001775726 -0.0000134109 0.0006227889 0.0080510419 -0.0002215460 0.0008876370 0.0072899063 -0.0001396530 0.0070114168
1700030418.74877 -1.403331 0.058532 0.216877 -0.041668 -0.020066 0.997232 0.058222 0.0001707610 0.0000008271 -0.0000029730 0.0001820496 -0.0000071068 0.0006306648 0.0082466158 -0.0003409391 0.0009712597 0.0074490702 -0.0002036481 0.0071082438
1700030418.81589 -1.437054 0.049045 0.231745 -0.042132 -0.012778 0.997217 0.060166 0.0001750052 0.0000006935 -0.0000026560 0.0001868142 -0.0000001410 0.0006385212 0.0085379228 -0.0004882330 0.0010744049 0.0077520685 -0.0002840593 0.0072807274
1700030418.88301 -1.456703 0.046369 0.257848 -0.044785 -0.005657 0.997153 0.060397 0.0001731463 0.0000050400 -0.0000058492 0.0001876900 0.0000055121 0.0006462249 0.0087788807 -0.0008456099 0.0012459532 0.0079400954 -0.0004585704 0.0073040678
1700030418.95013 -1.544707 0.097271 0.232213 -0.048055 0.000052 0.997224 0.056879 0.0001635892 -0.0000054145 -0.0000107904 0.0001821147 0.0000037768 0.0006510753 0.0084142732 -0.0003327840 0.0010808744 0.0074358286 -0.0001870859 0.0071863145
1700030419.01726 -1.593612 0.094258 0.227916 -0.053455 -0.007326 0.996927 0.056797 0.0001649509 -0.0000050180 -0.0000179731 0.0001845873 0.0000006508 0.0006583594 0.0086198836 -0.0003054089 0.0012119113 0.0075434748 -0.0001895342 0.0072766072
1700030419.08440 -1.651903 0.097004 0.228306 -0.053066 -0.009424 0.996945 0.056538 0.0001672638 -0.0000016907 -0.0000167984 0.0001803940 0.0000001887 0.0006660434 0.0081880101 -0.0002480859 0.0009336588 0.0076188842 -0.0001513318 0.0071165396
1700030419.15153 -1.692020 0.097604 0.241904 -0.043937 -0.014955 0.997060 0.060974 0.0001710079 -0.0000018350 -0.0000069808 0.0001852355 -0.0000043071 0.0006746978 0.0082997137 -0.0002664482 0.0009733098 0.0077633522 -0.0001620496 0.0071959303
1700030419.21899 -1.736065 0.096944 0.248583 -0.042122 -0.017385 0.996794 0.065762 0.0001752671 -0.0000020928 -0.0000039427 0.0001902013 -0.0000060851 0.0006831493 0.0085001030 -0.0002971295 0.0010274023 0.0079762325 -0.0001760191 0.0073438729
1700030419.28521 -1.784613 0.096165 0.247768 -0.043655 -0.020874 0.996517 0.067916 0.0001795908 -0.0000022370 -0.0000041893 0.0001952644 -0.0000092306 0.0006914392 0.0088127993 -0.0003357120 0.0010960857 0.0082985090 -0.0001936926 0.0075819542
1700030419.35142 -1.839041 0.099993 0.244777 -0.049785 -0.014121 0.996079 0.071748 0.0001841755 -0.0000024854 -0.0000098545 0.0002001655 -0.0000025200 0.0006999481 0.0092737292 -0.0003797223 0.0011822801 0.0087666496 -0.0002162524 0.0079367123
1700030419.41763 -1.875410 0.150022 0.248301 -0.048186 -0.005921 0.996078 0.073967 0.0001697734 -0.0000034533 -0.0000143505 0.0001847038 0.0000029533 0.0007063548 0.0085912569 -0.0002924203 0.0011548862 0.0080672647 -0.0001904183 0.0073951213
1700030419.48383 -1.937714 0.156576 0.238078 -0.054461 0.000616 0.995807 0.073498 0.0001736031 -0.0000035616 -0.0000178210 0.0001877818 0.0000133365 0.0007134846 0.0087315597 -0.0002361088 0.0011973578 0.0081714386 -0.0001877703 0.0074649629
1700030419.55002 -2.018086 0.169185 0.198496 -0.055506 0.004550 0.996134 0.067938 0.0001709060 -0.0000029524 -0.0000217715 0.0001841535 0.0000126102 0.0007173917 0.0085165499 -0.0002196318 0.0010997512 0.0082209322 -0.0001706683 0.0073810434
1700030419.61620 -2.081552 0.167212 0.180422 -0.058516 0.000206 0.995949 0.068276 0.0001753183 -0.0000029193 -0.0000251183 0.0001887835 0.0000094031 0.0007259981 0.0086342303 -0.0002146490 0.0011501871 0.0084460431 -0.0001739756 0.0074970294
1700030419.68237 -2.157581 0.170236 0.166025 -0.057701 -0.004812 0.996083 0.066833 0.0001718439 -0.0000034407 -0.0000261540 0.0001894808 0.0000030970 0.0007330637 0.0087355978 -0.0002108667 0.0012806838 0.0084998489 -0.0001730328 0.0075504453
1700030419.74853 -2.221137 0.167272 0.161437 -0.055569 -0.015553 0.995953 0.068904 0.0001757023 -0.0000031667 -0.0000226710 0.0001943873 -0.0000074858 0.0007422183 0.0089894056 -0.0002039947 0.0014423760 0.0087059044 -0.0001738226 0.0077413599
1700030419.81469 -2.260810 0.160372 0.139512 -0.044046 -0.018815 0.996049 0.074785 0.0001723496 -0.0000047133 -0.0000123979 0.0001927566 -0.0000084550 0.0007511456 0.0090710458 -0.0001512869 0.0014774291 0.0087650610 -0.0001409301 0.0076958625
1700030419.88084 -2.322014 0.152714 0.120976 -0.044851 -0.023749 0.995654 0.078088 0.0001764696 -0.0000049539 -0.0000098741 0.0001978178 -0.0000147301 0.0007601652 0.0094269317 -0.0001307270 0.0016720801 0.0088998954 -0.0001191279 0.0078785486
1700030419.94698 -2.389336 0.148398 0.097181 -0.048602 -0.021714 0.995357 0.080187 0.0001808734 -0.0000051454 -0.0000135030 0.0002026449 -0.0000124607 0.0007694264 0.0099295131 -0.0000900528 0.0019202963 0.0091686251 -0.0000915854 0.0081558370
1700030420.01311 -2.419493 0.171468 0.145228 -0.052145 -0.013420 0.995060 0.083409 0.0001790027 -0.0000088060 -0.0000210688 0.0001919758 -0.0000085989 0.0007767002 0.0091679750 0.0001131359 0.0014734533 0.0093160319 0.0000195970 0.0077081566
1700030420.07924 -2.430726 0.194633 0.151301 -0.057696 0.001809 0.994958 0.082013 0.0001778579 -0.0000070012 -0.0000363588 0.0001896533 0.0000107814 0.0007823061 0.0090446241 0.0000885171 0.0014522528 0.0093607100 0.0000149239 0.0077267750
1700030420.14535 -2.479786 0.188864 0.142558 -0.055722 0.002970 0.995431 0.077477 0.0001809372 -0.0000070200 -0.0000277143 0.0001946907 0.0000147655 0.0007925839 0.0093232761 0.0002483283 0.0016122317 0.0094908444 0.0001093329 0.0078860312
1700030420.21142 -2.519429 0.176740 0.103716 -0.058502 -0.000398 0.995266 0.077605 0.0001770162 -0.0000001306 -0.0000336925 0.0001918637 0.0000108633 0.0008013778 0.0090509144 -0.0001016459 0.0014546885 0.0094167476 -0.0001365248 0.0077754183
1700030420.27764 -2.571875 0.162501 0.073456 -0.063255 -0.005644 0.995049 0.076448 0.0001814284 0.0000001897 -0.0000361872 0.0001964367 0.0000047032 0.0008110195 0.0092622138 -0.0001759080 0.0015802190 0.0096026523 -0.0001744390 0.0079439140
1700030420.34385 -2.617403 0.150355 0.055972 -0.059363 -0.012825 0.994952 0.079883 0.0001849727 0.0000004805 -0.0000298456 0.0002012468 -0.0000034167 0.0008215803 0.0095866284 -0.0002657909 0.0017462935 0.0098964578 -0.0002276047 0.0081995706
1700030420.41005 -2.675852 0.149221 0.075961 -0.048108 -0.010622 0.995181 0.084777 0.0001738259 -0.0000023252 -0.0000180248 0.0001862433 -0.0000040603 0.0008288137 0.0089763564 -0.0001289439 0.0013672936 0.0097298166 -0.0001194778 0.0077560285
1700030420.47625 -2.730870 0.137744 0.063685 -0.049338 -0.014850 0.994762 0.088284 0.0001780677 -0.0000023656 -0.0000210449 0.0001908096 -0.0000078460 0.0008386135 0.0090495894 -0.0001306575 0.0014030160 0.0099661672 -0.0001221113 0.0078331173
1700030420.54243 -2.794315 0.145480 0.039985 -0.051701 -0.013015 0.994541 0.089698 0.0001759752 -0.0000044223 -0.0000266491 0.0001948139 -0.0000090842 0.0008463979 0.0091835430 -0.0001191917 0.0014362283 0.0101111733 -0.0000834384 0.0079538931
1700030420.60861 -2.857816 0.144460 0.023739 -0.053160 -0.009731 0.994115 0.093888 0.0001802586 -0.0000049396 -0.0000291109 0.0001993256 -0.0000021916 0.0008565300 0.0094170798 -0.0000766114 0.0014839167 0.0103636731 -0.0000490242 0.0081633890
1700030420.67478 -2.921065 0.137851 0.013714 -0.059317 0.002911 0.993675 0.095305 0.0001852839 -0.0000060039 -0.0000383086 0.0002043653 0.0000139126 0.0008656617 0.0097784279 -0.0000601888 0.0015463442 0.0106782605 -0.0000009975 0.0084780192
1700030420.74094 -2.983826 0.124528 0.005974 -0.056479 0.003443 0.994075 0.092810 0.0001889083 -0.0000059987 -0.0000337533 0.0002093274 0.0000153590 0.0008765335 0.0103015697 -0.0000480119 0.0016232639 0.0110919352 0.0000612996 0.0089229524
1700030420.80710 -3.050730 0.107958 -0.010859 -0.058741 -0.000486 0.994006 0.092205 0.0001933248 -0.0000058772 -0.0000357303 0.0002140694 0.0000101444 0.0008871113 0.0110182353 -0.0000351010 0.0017147315 0.0116479686 0.0001385320 0.0095247804
1700030420.87324 -3.123746 0.087043 -0.032709 -0.062422 -0.008816 0.993699 0.092676 0.0001980119 -0.0000054442 -0.0000392159 0.0002189187 -0.0000012656 0.0008975762 0.0119657673 -0.0000233405 0.0018240469 0.0123854342 0.0002321100 0.0103099195
1700030420.93938 -3.193831 0.066803 -0.045237 -0.060115 -0.014440 0.993677 0.093722 0.0002019298 -0.0000052962 -0.0000346326 0.0002240918 -0.0000083040 0.0009087569 0.0131927475 -0.0000034209 0.0019535965 0.0133121842 0.0003432217 0.0112997250
1700030421.00551 -3.282943 0.099329 -0.020219 -0.048998 -0.018569 0.993867 0.097377 0.0001962458 -0.0000123645 -0.0000189664 0.0002237152 -0.0000184416 0.0009190937 0.0143925925 0.0006109602 0.0029108627 0.0133530218 -0.0005487414 0.0098429495
1700030421.07163 -3.356934 0.088740 -0.027762 -0.048127 -0.022148 0.993454 0.101206 0.0002007182 -0.0000127857 -0.0000190294 0.0002287691 -0.0000195774 0.0009300440 0.0161890376 0.0010158381 0.0034181332 0.0144182748 -0.0008079469 0.0103561093
1700030421.13774 -3.435249 0.078760 -0.041503 -0.047932 -0.023515 0.993357 0.101937 0.0002050814 -0.0000131113 -0.0000178279 0.0002340525 -0.0000212439 0.0009411340 0.0183412396 0.0013789251 0.0039909377 0.0156074546 -0.0011129064 0.0109764029
1700030421.20381 -3.520421 0.073961 -0.057285 -0.054146 -0.014101 0.992963 0.104372 0.0002102369 -0.0000137173 -0.0000274665 0.0002387227 -0.0000087580 0.0009522990 0.0209204642 0.0018147185 0.0046530831 0.0170691670 -0.0014719506 0.0117516512
1700030421.27003 -3.565459 0.116845 -0.104866 -0.051078 -0.013693 0.992707 0.108339 0.0001968983 -0.0000205937 -0.0000310845 0.0002115149 -0.0000153063 0.0009606928 0.0185786347 0.0029237403 0.0047843737 0.0150297889 0.0009709314 0.0105297251
1700030421.33624 -3.645367 0.108637 -0.113780 -0.054980 -0.003475 0.992787 0.106484 0.0002013288 -0.0000216860 -0.0000359213 0.0002162481 0.0000018116 0.0009719657 0.0205468088 0.0039144995 0.0056160338 0.0156603296 0.0013663406 0.0109910575
1700030421.40244 -3.611341 0.150192 -0.105584 -0.050609 0.003575 0.993412 0.102753 0.0001899909 -0.0000154725 -0.0000407959 0.0002085797 0.0000090226 0.0009801157 0.0192955082 0.0032051981 0.0056255844 0.0156011962 0.0012561146 0.0111974161
1700030421.46863 -3.686087 0.143468 -0.129531 -0.057719 -0.003913 0.993084 0.102166 0.0001944624 -0.0000153662 -0.0000456940 0.0002132108 0.0000016125 0.0009913064 0.0211388887 0.0040207644 0.0066123540 0.0157390659 0.0016373107 0.0117541292
1700030421.53482 -3.669577 0.162340 -0.073247 -0.056787 -0.006363 0.993378 0.099678 0.0001920417 -0.0000140954 -0.0000483514 0.0002033646 -0.0000038793 0.0010017294 0.0182318136 0.0031781876 0.0049332673 0.0157949218 0.0011287065 0.0107961703
1700030421.60099 -3.732500 0.155400 -0.067648 -0.056586 -0.017715 0.992770 0.104364 0.0001957715 -0.0000136312 -0.0000431252 0.0002081060 -0.0000218450 0.0010135759 0.0196910244 0.0039410273 0.0055975081 0.0160407450 0.0014502424 0.0111189122
1700030421.66716 -3.795405 0.150695 -0.064506 -0.051722 -0.016989 0.992417 0.110203 0.0001994119 -0.0000144291 -0.0000347644 0.0002122055 -0.0000195590 0.0010264028 0.0213496339 0.0047303167 0.0063555229 0.0168325275 0.0018232454 0.0116132380
1700030421.73332 -3.865104 0.144528 -0.072168 -0.057454 -0.021271 0.991740 0.112690 0.0002044805 -0.0000142212 -0.0000430782 0.0002171215 -0.0000276072 0.0010372156 0.0232868413 0.0056209149 0.0072075334 0.0178138146 0.0022438170 0.0122382385
1700030421.79948 -3.940098 0.142749 -0.084542 -0.066513 -0.016370 0.991007 0.114945 0.0002106808 -0.0000145455 -0.0000585301 0.0002213125 -0.0000214605 0.0010478480 0.0255473967 0.0066346797 0.0081586411 0.0190129589 0.0027131581 0.0130171520
1700030421.86562 -3.764872 0.291478 0.010335 -0.056145 -0.010413 0.991416 0.117616 0.0001840201 -0.0000020891 -0.0000608314 0.0001929227 -0.0000204418 0.0010551229 0.0165095193 0.0023538108 0.0040035731 0.0166889468 0.0006823621 0.0105597646
1700030421.93176 -3.813068 0.302854 0.017249 -0.061478 0.000041 0.991380 0.115699 0.0001880673 -0.0000041012 -0.0000636574 0.0001967304 0.0000086820 0.0010673980 0.0169392101 0.0028147975 0.0042116204 0.0157248740 0.0007159261 0.0106173633
1700030421.99789 -3.861967 0.308976 0.022168 -0.059078 0.001955 0.991972 0.111796 0.0001911938 -0.0000043034 -0.0000594371 0.0002010816 0.0000128617 0.0010802876 0.0174012779 0.0029258155 0.0044321565 0.0160694612 0.0007613049 0.0108608493
1700030422.06401 -3.916546 0.311350 0.019688 -0.061993 -0.004365 0.991887 0.110899 0.0001955151 -0.0000035982 -0.0000631440 0.0002051624 0.0000014224 0.0010924867 0.0179929605 0.0030361938 0.0046821707 0.0165366456 0.0008093393 0.0112025004
1700030422.13012 -3.971019 0.312544 0.020198 -0.054758 -0.010394 0.992470 0.109069 0.0001975835 -0.0000031160 -0.0000486318 0.0002095700 -0.0000075670 0.0011068448 0.0187513721 0.0031506356 0.0049654178 0.0171291212 0.0008593222 0.0116643237
1700030422.19619 -4.019586 0.316844 0.030522 -0.051943 -0.019743 0.992111 0.112378 0.0002008676 -0.0000026381 -0.0000413311 0.0002144496 -0.0000235704 0.0011197437 0.0197185776 0.0032784592 0.0052841955 0.0178510214 0.0009099961 0.0122678944
1700030422.26240 -4.026769 0.324998 -0.010521 -0.040834 -0.019247 0.991899 0.118735 0.0001843835 -0.0000057042 -0.0000288236 0.0001986521 -0.0000283559 0.0011290782 0.0178003574 0.0031248368 0.0045474835 0.0169185859 0.0007941544 0.0108452678
1700030422.32861 -4.064460 0.333260 0.004656 -0.041859 -0.022403 0.991622 0.120132 0.0001810810 -0.0000006626 -0.0000285585 0.0001943394 -0.0000293218 0.0011266590 0.0167493246 0.0028652065 0.0039511055 0.0168732668 0.0006409946 0.0105330691
1700030422.39481 -4.115805 0.343345 -0.000459 -0.041259 -0.018843 0.991415 0.122635 0.0001847583 -0.0000008632 -0.0000296015 0.0001980059 -0.0000238009 0.0011396756 0.0169009977 0.0028860071 0.0040106082 0.0171455389 0.0006206983 0.0106365224
1700030422.46101 -4.168554 0.362694 -0.006355 -0.041183 -0.013423 0.991004 0.126625 0.0001824440 -0.0000031079 -0.0000336383 0.0001936656 -0.0000166709 0.0011512862 0.0168786289 0.0030046206 0.0039967062 0.0173956791 0.0006726097 0.0106606629
1700030422.52719 -4.209411 0.377455 0.004993 -0.046826 -0.001106 0.990584 0.128644 0.0001831361 -0.0000012617 -0.0000501048 0.0001935831 0.0000062601 0.0011603666 0.0168510110 0.0029900625 0.0040318838 0.0176501826 0.0006259317 0.0106427558
1700030422.59337 -4.243790 0.385995 0.018226 -0.039046 0.006172 0.991500 0.123955 0.0001739229 -0.0000003011 -0.0000392404 0.0001897639 0.0000129514 0.0011242190 0.0160656864 0.0026529967 0.0036960790 0.0176849863 0.0004770066 0.0104507119
